response_variable_name	database_identifier	database_namespace	treatment	signal_intensity
TXNDC5	Q8NBS9	uniprot	Control 10h_3	81.67411475
HSP90AA1	P07900	uniprot	Control 10h_3	126.389944
CMPK1	P30085	uniprot	Control 10h_3	34.53127656
PBRM1	Q86U86	uniprot	Control 10h_3	37.57810535
CDC27	P30260	uniprot	Control 10h_3	31.041730100000002
ESYT1	Q9BSJ8	uniprot	Control 10h_3	43.71539598
GLUD1	P00367	uniprot	Control 10h_3	18.43043651
CORO1C	Q9ULV4	uniprot	Control 10h_3	13.70520261
APOB	P04114	uniprot	Control 10h_3	34.62102783
SRI	P30626	uniprot	Control 10h_3	25.21204714
ATP6V0D1	P61421	uniprot	Control 10h_3	33.87334667
MARS	P56192	uniprot	Control 10h_3	63.44619741
CORO1B	Q9BR76	uniprot	Control 10h_3	29.50149311
EIF4G2	P78344	uniprot	Control 10h_3	36.60269812
ERMP1	Q7Z2K6	uniprot	Control 10h_3	24.44133458
TROVE2	P10155	uniprot	Control 10h_3	31.71010465
MAP1LC3B	Q9GZQ8	uniprot	Control 10h_3	13.483986400000001
NMT1	P30419	uniprot	Control 10h_3	32.59043278
PSMD8	P48556	uniprot	Control 10h_3	46.76384166
NUP205	Q92621	uniprot	Control 10h_3	70.41054212
RPL18A	Q02543	uniprot	Control 10h_3	43.83862295
HJURP	Q8NCD3	uniprot	Control 10h_3	23.50966487
ATP6V1A	P38606	uniprot	Control 10h_3	54.16703634
MAP7D1	Q3KQU3	uniprot	Control 10h_3	25.71458143
PABPC1	P11940	uniprot	Control 10h_3	74.25056305
DHCR7	Q9UBM7	uniprot	Control 10h_3	20.32215527
HNRNPAB	Q99729	uniprot	Control 10h_3	55.47178693
ADRM1	Q16186	uniprot	Control 10h_3	24.38481871
RNH1	P13489	uniprot	Control 10h_3	34.11192204
PRDX3	P30048	uniprot	Control 10h_3	33.76467159
GPRC5A	Q8NFJ5	uniprot	Control 10h_3	23.30837883
SRSF3	P84103	uniprot	Control 10h_3	25.46939169
LARP1	Q6PKG0	uniprot	Control 10h_3	26.326735
CNN3	Q15417	uniprot	Control 10h_3	29.46866095
STOM	P27105	uniprot	Control 10h_3	1.924226626
CUL1	Q13616	uniprot	Control 10h_3	36.22440244
COPA	P53621	uniprot	Control 10h_3	0.0
HDLBP	Q00341	uniprot	Control 10h_3	22.53295487
EIF3B	P55884	uniprot	Control 10h_3	41.86738804
PYGL	P06737	uniprot	Control 10h_3	20.32343428
HTATIP2	Q9BUP3	uniprot	Control 10h_3	26.05805654
MORF4L2	Q15014	uniprot	Control 10h_3	20.8388548
SDHD	O14521	uniprot	Control 10h_3	24.5646838
PDE3A	Q14432	uniprot	Control 10h_3	34.79037628
RPN1	P04843	uniprot	Control 10h_3	62.98323559
USP5	P45974	uniprot	Control 10h_3	63.98679997
TUBG1	P23258	uniprot	Control 10h_3	27.21827312
SLC39A14	Q15043	uniprot	Control 10h_3	25.50314194
PPP3CA	Q08209	uniprot	Control 10h_3	34.80854936
EPCAM	P16422	uniprot	Control 10h_3	25.5613292
CTSH	P09668	uniprot	Control 10h_3	51.26193522
TPM1	P09493	uniprot	Control 10h_3	39.17467937
HSPE1	P61604	uniprot	Control 10h_3	214.76409069999997
IGF2R	P11717	uniprot	Control 10h_3	44.32470347
SSR4	P51571	uniprot	Control 10h_3	32.95884466
RPS8	P62241	uniprot	Control 10h_3	77.16890373
DUT	P33316	uniprot	Control 10h_3	42.94860953
PXDN	Q92626	uniprot	Control 10h_3	20.70596874
CYB5A	P00167	uniprot	Control 10h_3	33.62382156
EIF5	P55010	uniprot	Control 10h_3	40.94241808
UBE2C	O00762	uniprot	Control 10h_3	12.76507132
DDAH1	O94760	uniprot	Control 10h_3	19.22890488
MDH1	P40925	uniprot	Control 10h_3	26.30770431
DNAJC7	Q99615	uniprot	Control 10h_3	26.11844998
HNRNPC	P07910	uniprot	Control 10h_3	34.08835886
TBL2	Q9Y4P3	uniprot	Control 10h_3	38.636626799999995
DNAJA2	O60884	uniprot	Control 10h_3	19.61729196
RPL13A	P40429	uniprot	Control 10h_3	64.00684945
ATXN2L	Q8WWM7	uniprot	Control 10h_3	22.12812677
NDUFB10	O96000	uniprot	Control 10h_3	51.83310296
PSMD4	P55036	uniprot	Control 10h_3	24.71262027
P4HA1	P13674	uniprot	Control 10h_3	27.52877873
PSMC6	P62333	uniprot	Control 10h_3	27.96122005
TSPO	P30536	uniprot	Control 10h_3	44.35808707
RHEB	Q15382	uniprot	Control 10h_3	19.41965016
RANBP2	P49792	uniprot	Control 10h_3	18.41583034
IKBIP	Q70UQ0	uniprot	Control 10h_3	15.75154166
COPS3	Q9UNS2	uniprot	Control 10h_3	31.27320835
ACIN1	Q9UKV3	uniprot	Control 10h_3	28.32770063
EHD4	Q9H223	uniprot	Control 10h_3	32.71036545
DYNLRB1	Q9NP97	uniprot	Control 10h_3	25.39144825
TRIM28	Q13263	uniprot	Control 10h_3	49.62466719
TAPBP	O15533	uniprot	Control 10h_3	27.08446573
RBM3	P98179	uniprot	Control 10h_3	58.18033732
EIF2S2	P20042	uniprot	Control 10h_3	98.16632623
NUP210	Q8TEM1	uniprot	Control 10h_3	43.84264728
SLC25A24	Q6NUK1	uniprot	Control 10h_3	13.75900939
RPL18	Q07020	uniprot	Control 10h_3	35.7692779
RPL26	P61254	uniprot	Control 10h_3	30.56686472
SUCLG1	P53597	uniprot	Control 10h_3	18.58101539
SRSF9	Q13242	uniprot	Control 10h_3	29.24878171
PDIA4	P13667	uniprot	Control 10h_3	25.26492438
DDR2	Q16832	uniprot	Control 10h_3	29.19465273
ASPH	Q12797	uniprot	Control 10h_3	42.59052772
CRK	P46108	uniprot	Control 10h_3	29.29656431
NAA50	Q9GZZ1	uniprot	Control 10h_3	27.28615046
PRRC1	Q96M27	uniprot	Control 10h_3	16.18217423
HN1L; JPT2	Q9H910	uniprot	Control 10h_3	60.02243915
RPL34	P49207	uniprot	Control 10h_3	46.90662664
ALDH7A1	P49419	uniprot	Control 10h_3	0.0
TUBB	P07437	uniprot	Control 10h_3	28.80011249
SMC3	Q9UQE7	uniprot	Control 10h_3	57.12786337
GOT1	P17174	uniprot	Control 10h_3	22.81407311
HNRNPH1	P31943	uniprot	Control 10h_3	26.427040500000004
PSMB6	P28072	uniprot	Control 10h_3	5.443943442
HADHB	P55084	uniprot	Control 10h_3	33.40726079
GNS	P15586	uniprot	Control 10h_3	10.57821373
UQCC; UQCC1	Q9NVA1	uniprot	Control 10h_3	18.70534764
MTAP	Q13126	uniprot	Control 10h_3	30.86308094
ATP5C1	P36542	uniprot	Control 10h_3	25.10297018
KTN1	Q86UP2	uniprot	Control 10h_3	26.74849269
SELENBP1	Q13228	uniprot	Control 10h_3	3.725935125
PHB2	Q99623	uniprot	Control 10h_3	67.1172775
SSR2	P43308	uniprot	Control 10h_3	25.48059194
DAP	P51397	uniprot	Control 10h_3	30.69251757
TGM2	P21980	uniprot	Control 10h_3	23.34236704
SMS	P52788	uniprot	Control 10h_3	41.29809939
COPB2	P35606	uniprot	Control 10h_3	33.51373515
UGGT1	Q9NYU2	uniprot	Control 10h_3	30.20446546
MYADM	Q96S97	uniprot	Control 10h_3	20.02649859
HNRNPF	P52597	uniprot	Control 10h_3	43.57219878
ATP6V1B2	P21281	uniprot	Control 10h_3	20.59159892
EIF6	P56537	uniprot	Control 10h_3	131.734809
ATAD3A	Q9NVI7	uniprot	Control 10h_3	36.59747262
POLD3	Q15054	uniprot	Control 10h_3	21.70980931
GSTO1	P78417	uniprot	Control 10h_3	34.24669724
CIAPIN1	Q6FI81	uniprot	Control 10h_3	33.11675338
SRRM1	Q8IYB3	uniprot	Control 10h_3	29.88083633
CAPRIN1	Q14444	uniprot	Control 10h_3	36.37306654
COPB1	P53618	uniprot	Control 10h_3	27.09319129
CHMP4B	Q9H444	uniprot	Control 10h_3	22.42208027
PFAS	O15067	uniprot	Control 10h_3	32.16043714
TECR	Q9NZ01	uniprot	Control 10h_3	24.30730391
AKAP8L	Q9ULX6	uniprot	Control 10h_3	11.87857063
ALYREF	Q86V81	uniprot	Control 10h_3	41.85068797
ACAT1	P24752	uniprot	Control 10h_3	25.17708383
OLA1	Q9NTK5	uniprot	Control 10h_3	19.10659563
EIF3F	O00303	uniprot	Control 10h_3	32.51994057
HBS1L	Q9Y450	uniprot	Control 10h_3	22.74799141
OCIAD1	Q9NX40	uniprot	Control 10h_3	24.17542712
RPS7	P62081	uniprot	Control 10h_3	26.82568402
RPL31	P62899	uniprot	Control 10h_3	43.85133851
RPS15A	P62244	uniprot	Control 10h_3	44.82558731
PAFAH1B2	P68402	uniprot	Control 10h_3	16.460910000000002
HCFC1	P51610	uniprot	Control 10h_3	31.85335114
PEG10	Q86TG7	uniprot	Control 10h_3	20.15367611
ABCF1	Q8NE71	uniprot	Control 10h_3	57.12400023
TNFAIP8	O95379	uniprot	Control 10h_3	10.788675
RPL19	P84098	uniprot	Control 10h_3	46.99605777
PPHLN1	Q8NEY8	uniprot	Control 10h_3	11.34066243
ADPGK	Q9BRR6	uniprot	Control 10h_3	13.68654957
CD63	P08962	uniprot	Control 10h_3	22.58887976
SLC35B2	Q8TB61	uniprot	Control 10h_3	24.92483924
PDLIM1	O00151	uniprot	Control 10h_3	13.75928378
CAD	P27708	uniprot	Control 10h_3	41.68810825
PRKCSH	P14314	uniprot	Control 10h_3	23.99394203
TPT1	P13693	uniprot	Control 10h_3	72.50594088
CAND1	Q86VP6	uniprot	Control 10h_3	24.62946497
TARDBP	Q13148	uniprot	Control 10h_3	23.58440638
HP1BP3	Q5SSJ5	uniprot	Control 10h_3	21.5165667
CYB5B	O43169	uniprot	Control 10h_3	31.16698453
G3BP1	Q13283	uniprot	Control 10h_3	35.76637856
TRIM16	O95361	uniprot	Control 10h_3	34.27589385
SCP2	P22307	uniprot	Control 10h_3	15.37257627
SPATA5L1	Q9BVQ7	uniprot	Control 10h_3	21.49853246
HMGCS1	Q01581	uniprot	Control 10h_3	18.69625597
TRMT1	Q9NXH9	uniprot	Control 10h_3	23.44484491
HNRNPH3	P31942	uniprot	Control 10h_3	25.43011865
ECH1	Q13011	uniprot	Control 10h_3	12.80594353
ARHGAP17	Q68EM7	uniprot	Control 10h_3	36.7249553
BAG6	P46379	uniprot	Control 10h_3	6.822827733
PPP1CA	P62136	uniprot	Control 10h_3	27.66938747
SHC1	P29353	uniprot	Control 10h_3	21.84638085
TMED5	Q9Y3A6	uniprot	Control 10h_3	22.87501163
EFTUD2	Q15029	uniprot	Control 10h_3	47.50303691
RPL11	P62913	uniprot	Control 10h_3	39.96656276
IDI2	Q9BXS1	uniprot	Control 10h_3	10.47206936
	Q99873	uniprot	Control 10h_3	42.73467405
GPD2	P43304	uniprot	Control 10h_3	14.80523953
IDH3A	P50213	uniprot	Control 10h_3	33.87644365
PFDN2	Q9UHV9	uniprot	Control 10h_3	18.78028193
TOP1	P11387	uniprot	Control 10h_3	40.99395437
TMEM160	Q9NX00	uniprot	Control 10h_3	17.46106049
CTNNBL1	Q8WYA6	uniprot	Control 10h_3	15.058225
CSDE1	O75534	uniprot	Control 10h_3	65.17937967
USP47	Q96K76	uniprot	Control 10h_3	45.29664472
CARS2	Q9HA77	uniprot	Control 10h_3	23.49645718
PPA1	Q15181	uniprot	Control 10h_3	43.38240208
AP1B1	Q10567	uniprot	Control 10h_3	13.40447736
STAT3	P40763	uniprot	Control 10h_3	24.51261325
SLC25A5	P05141	uniprot	Control 10h_3	1.6323268530000001
PSMB3	P49720	uniprot	Control 10h_3	34.86737568
COPS6	Q7L5N1	uniprot	Control 10h_3	32.44551422
YWHAB	P31946	uniprot	Control 10h_3	17.000633800000003
UBQLN2	Q9UHD9	uniprot	Control 10h_3	16.03061618
CIRBP	Q14011	uniprot	Control 10h_3	21.37055262
PSMC1	P62191	uniprot	Control 10h_3	32.16217707
PAPSS2	O95340	uniprot	Control 10h_3	25.92841737
AP2A1	O95782	uniprot	Control 10h_3	31.58648366
APEH	P13798	uniprot	Control 10h_3	19.59299659
CISD2	Q8N5K1	uniprot	Control 10h_3	23.94566442
MAPRE1	Q15691	uniprot	Control 10h_3	23.21319438
PCID2	Q5JVF3	uniprot	Control 10h_3	16.29277519
MYO1D	O94832	uniprot	Control 10h_3	11.33888585
NDUFB3	O43676	uniprot	Control 10h_3	22.82531901
ROR2	Q01974	uniprot	Control 10h_3	24.23426506
CAT	P04040	uniprot	Control 10h_3	7.149511177999999
ENAH	Q8N8S7	uniprot	Control 10h_3	26.3284389
PFDN5	Q99471	uniprot	Control 10h_3	10.81115878
HNRNPUL2	Q1KMD3	uniprot	Control 10h_3	19.40666892
SOD1	P00441	uniprot	Control 10h_3	25.89851939
UBR4	Q5T4S7	uniprot	Control 10h_3	29.00234106
COX3	P00414	uniprot	Control 10h_3	16.33156051
CECR5; HDHD5	Q9BXW7	uniprot	Control 10h_3	27.25167482
C19orf21; MISP	Q8IVT2	uniprot	Control 10h_3	17.46396864
NNT	Q13423	uniprot	Control 10h_3	39.69059032
PPP2R5E	Q16537	uniprot	Control 10h_3	17.02381607
MCM7	P33993	uniprot	Control 10h_3	56.14535808
HNRNPR	O43390	uniprot	Control 10h_3	53.61569351
CDK4	P11802	uniprot	Control 10h_3	11.990096099999999
POLDIP2	Q9Y2S7	uniprot	Control 10h_3	39.85635455
ZSCAN4	Q8NAM6	uniprot	Control 10h_3	18.58322867
ATP5F1	P24539	uniprot	Control 10h_3	20.20303798
GSN	P06396	uniprot	Control 10h_3	33.64951886
RPP30	P78346	uniprot	Control 10h_3	15.68504391
ANXA3	P12429	uniprot	Control 10h_3	13.72277696
DFFA	O00273	uniprot	Control 10h_3	2.269722542
UTP15	Q8TED0	uniprot	Control 10h_3	23.1182832
UQCR10	Q9UDW1	uniprot	Control 10h_3	11.81614564
FLII	Q13045	uniprot	Control 10h_3	23.93749193
CD99	P14209	uniprot	Control 10h_3	12.66578748
CSTF3	Q12996	uniprot	Control 10h_3	23.24035011
NAPA	P54920	uniprot	Control 10h_3	36.79456967
SRSF6	Q13247	uniprot	Control 10h_3	25.25735422
KDELR1	P24390	uniprot	Control 10h_3	14.34199523
HMOX1	P09601	uniprot	Control 10h_3	23.95050841
TYMP; SCO2	P19971	uniprot	Control 10h_3	23.87805412
CUL3	Q13618	uniprot	Control 10h_3	17.2820833
SEC31A	O94979	uniprot	Control 10h_3	19.69760902
TMCO1	Q9UM00	uniprot	Control 10h_3	18.65516368
CPSF1	Q10570	uniprot	Control 10h_3	11.09650022
BRIX1	Q8TDN6	uniprot	Control 10h_3	18.54349945
SNW1	Q13573	uniprot	Control 10h_3	19.88412784
ARFGAP3	Q9NP61	uniprot	Control 10h_3	9.536380165
DCAF7	P61962	uniprot	Control 10h_3	23.63398152
CRYZ	Q08257	uniprot	Control 10h_3	8.067755794
PDXDC1; LOC102724985	Q6P996	uniprot	Control 10h_3	8.412711774
GTPBP4	Q9BZE4	uniprot	Control 10h_3	25.72776992
CSRP2	Q16527	uniprot	Control 10h_3	2.726009705
HEXA	P06865	uniprot	Control 10h_3	12.27898887
IKBKAP; ELP1	O95163	uniprot	Control 10h_3	18.81914025
TTC1	Q99614	uniprot	Control 10h_3	11.98373705
BTF3L4	Q96K17	uniprot	Control 10h_3	22.40631368
ACTR2	P61160	uniprot	Control 10h_3	4.496831927
ARPC3	O15145	uniprot	Control 10h_3	18.62840565
GLYR1	Q49A26	uniprot	Control 10h_3	18.60917735
MRPS7	Q9Y2R9	uniprot	Control 10h_3	20.37972771
ERO1L; ERO1A	Q96HE7	uniprot	Control 10h_3	25.4708461
LRBA	P50851	uniprot	Control 10h_3	8.7621141
TSPYL1	Q9H0U9	uniprot	Control 10h_3	13.39115457
TMEM11	P17152	uniprot	Control 10h_3	18.77774723
GLOD4	Q9HC38	uniprot	Control 10h_3	23.21289717
ACTR3	P61158	uniprot	Control 10h_3	10.03224531
DHCR24	Q15392	uniprot	Control 10h_3	34.71787435
PLRG1	O43660	uniprot	Control 10h_3	15.69064621
COPZ1	P61923	uniprot	Control 10h_3	34.71773344
CCDC124	Q96CT7	uniprot	Control 10h_3	23.38269572
CST3	P01034	uniprot	Control 10h_3	17.85801352
NPEPPS	P55786	uniprot	Control 10h_3	24.57298744
HINT1	P49773	uniprot	Control 10h_3	2.975492938
CDK1	P06493	uniprot	Control 10h_3	20.19728768
SLC27A2	O14975	uniprot	Control 10h_3	36.49352807
U2AF1; LOC102724594; U2AF1L5	Q01081	uniprot	Control 10h_3	22.34005386
MRFAP1	Q9Y605	uniprot	Control 10h_3	20.68319064
PEX16	Q9Y5Y5	uniprot	Control 10h_3	15.68070029
TKT	P29401	uniprot	Control 10h_3	29.06976937
ACADVL	P49748	uniprot	Control 10h_3	54.29393368
SYNCRIP	O60506	uniprot	Control 10h_3	43.40504436
UFD1L; UFD1	Q92890	uniprot	Control 10h_3	24.13197122
TNPO1	Q92973	uniprot	Control 10h_3	19.31179189
RAD23B	P54727	uniprot	Control 10h_3	24.62949281
DDX27	Q96GQ7	uniprot	Control 10h_3	19.43048869
EIF4A2	Q14240	uniprot	Control 10h_3	31.59814898
PEPD	P12955	uniprot	Control 10h_3	17.15291415
PRPS1	P60891	uniprot	Control 10h_3	15.62639151
BTF3	P20290	uniprot	Control 10h_3	24.39553352
ITFG3; FAM234A	Q9H0X4	uniprot	Control 10h_3	14.21491088
LTA4H	P09960	uniprot	Control 10h_3	24.83878661
PBK	Q96KB5	uniprot	Control 10h_3	20.82409812
BOLA2B; BOLA2; LOC107984053	Q9H3K6	uniprot	Control 10h_3	4.191797312
BRE; BABAM2	Q9NXR7	uniprot	Control 10h_3	0.71416935
ADNP	Q9H2P0	uniprot	Control 10h_3	11.70431389
AIFM1	O95831	uniprot	Control 10h_3	13.9386914
NIPSNAP1	Q9BPW8	uniprot	Control 10h_3	8.8236228
PTGES3	Q15185	uniprot	Control 10h_3	1.311393133
EMC4	Q5J8M3	uniprot	Control 10h_3	24.8708543
NR3C1	P04150	uniprot	Control 10h_3	9.571869998
CPT1A	P50416	uniprot	Control 10h_3	21.57995532
CLPP	Q16740	uniprot	Control 10h_3	19.10492431
ANXA11	P50995	uniprot	Control 10h_3	17.86618876
MCAM	P43121	uniprot	Control 10h_3	27.31750373
WLS	Q5T9L3	uniprot	Control 10h_3	12.51718061
TES	Q9UGI8	uniprot	Control 10h_3	10.08036968
API5	Q9BZZ5	uniprot	Control 10h_3	35.94370066
AKAP12	Q02952	uniprot	Control 10h_3	15.645545000000002
EMC1	Q8N766	uniprot	Control 10h_3	16.70985715
H1FX	Q92522	uniprot	Control 10h_3	15.08137952
PGAM5	Q96HS1	uniprot	Control 10h_3	18.58043129
LARS2	Q15031	uniprot	Control 10h_3	20.21311587
TOMM34	Q15785	uniprot	Control 10h_3	27.31999171
TMED4	Q7Z7H5	uniprot	Control 10h_3	28.61947611
ACOT9	Q9Y305	uniprot	Control 10h_3	14.92909367
GMNN	O75496	uniprot	Control 10h_3	12.15193137
CAPZA1	P52907	uniprot	Control 10h_3	16.35336274
PDCD6IP	Q8WUM4	uniprot	Control 10h_3	6.596423946
GTF2F1	P35269	uniprot	Control 10h_3	10.58320877
ATP5J2	P56134	uniprot	Control 10h_3	18.1770676
NUDT2	P50583	uniprot	Control 10h_3	19.64041798
XPNPEP1	Q9NQW7	uniprot	Control 10h_3	14.23591288
F11R	Q9Y624	uniprot	Control 10h_3	10.45165449
HSPA4L	O95757	uniprot	Control 10h_3	25.9469458
ELAVL1	Q15717	uniprot	Control 10h_3	0.0
UPF1	Q92900	uniprot	Control 10h_3	15.73188167
HMGN5	P82970	uniprot	Control 10h_3	18.33786032
GHITM	Q9H3K2	uniprot	Control 10h_3	20.35891963
PGP	A6NDG6	uniprot	Control 10h_3	6.748768991
CAMK2D	Q13557	uniprot	Control 10h_3	15.25189686
HSDL2	Q6YN16	uniprot	Control 10h_3	7.599684373
DDX6	P26196	uniprot	Control 10h_3	5.084093909
MAPRE2	Q15555	uniprot	Control 10h_3	19.25881809
NPEPL1	Q8NDH3	uniprot	Control 10h_3	16.74229171
ALDH1B1	P30837	uniprot	Control 10h_3	26.60609176
LONP1	P36776	uniprot	Control 10h_3	29.16385155
ACSF3	Q4G176	uniprot	Control 10h_3	13.998494199999998
NDUFA2	O43678	uniprot	Control 10h_3	6.889757373999999
PPIC	P45877	uniprot	Control 10h_3	4.640505553000001
SERINC1	Q9NRX5	uniprot	Control 10h_3	5.234934078999999
COPS4	Q9BT78	uniprot	Control 10h_3	11.62653095
RBM12	Q9NTZ6	uniprot	Control 10h_3	19.15111275
PSMD7	P51665	uniprot	Control 10h_3	28.70530265
ATP6V0C	P27449	uniprot	Control 10h_3	20.72026212
BCAT2	O15382	uniprot	Control 10h_3	4.459094447
RPS11	P62280	uniprot	Control 10h_3	46.81872798
RPS26; LOC101929876; RPS26P25	P62854	uniprot	Control 10h_3	40.3153924
RPL27	P61353	uniprot	Control 10h_3	17.99355258
NPC2	P61916	uniprot	Control 10h_3	32.08781212
PLIN3	O60664	uniprot	Control 10h_3	0.0
CYCS	P99999	uniprot	Control 10h_3	20.2364201
PLOD1	Q02809	uniprot	Control 10h_3	26.39693198
HMGB2	P26583	uniprot	Control 10h_3	11.73171677
HNRNPA3	P51991	uniprot	Control 10h_3	27.78559162
DDX47	Q9H0S4	uniprot	Control 10h_3	10.24990312
SCAMP1	O15126	uniprot	Control 10h_3	21.13630986
PELP1	Q8IZL8	uniprot	Control 10h_3	3.1954516
RALA	P11233	uniprot	Control 10h_3	14.62721024
CSNK2B	P67870	uniprot	Control 10h_3	40.56847775
TPD52L1	Q16890	uniprot	Control 10h_3	37.35521244
RPS20	P60866	uniprot	Control 10h_3	60.84259321
HN1; JPT1	Q9UK76	uniprot	Control 10h_3	21.22522768
GPI	P06744	uniprot	Control 10h_3	23.35906627
PSMB1	P20618	uniprot	Control 10h_3	0.0
NDUFA9	Q16795	uniprot	Control 10h_3	20.51540956
MRPL17	Q9NRX2	uniprot	Control 10h_3	15.87714315
RAB3GAP2	Q9H2M9	uniprot	Control 10h_3	6.321814377999999
ACAT2	Q9BWD1	uniprot	Control 10h_3	5.821420429
ABCF2	Q9UG63	uniprot	Control 10h_3	7.056471437999999
ACBD3	Q9H3P7	uniprot	Control 10h_3	28.91170749
NSDHL	Q15738	uniprot	Control 10h_3	10.32784562
RNMTL1; MRM3	Q9HC36	uniprot	Control 10h_3	12.10716657
EMC7	Q9NPA0	uniprot	Control 10h_3	27.20515718
FADS2	O95864	uniprot	Control 10h_3	0.0
RNPEP	Q9H4A4	uniprot	Control 10h_3	11.38225154
ARFGAP1	Q8N6T3	uniprot	Control 10h_3	8.609223216
CPSF6	Q16630	uniprot	Control 10h_3	18.62719833
CALD1	Q05682	uniprot	Control 10h_3	0.0
IDH3G	P51553	uniprot	Control 10h_3	14.14718444
TBCD	Q9BTW9	uniprot	Control 10h_3	19.99453752
SYAP1	Q96A49	uniprot	Control 10h_3	9.273741912
NDUFAF2	Q8N183	uniprot	Control 10h_3	19.75660589
C19orf10; MYDGF	Q969H8	uniprot	Control 10h_3	20.54115241
DPM3	Q9P2X0	uniprot	Control 10h_3	7.316940943
CNDP2	Q96KP4	uniprot	Control 10h_3	55.71969228
DDX39B	Q13838	uniprot	Control 10h_3	9.830816317
EPB41L1	Q9H4G0	uniprot	Control 10h_3	12.63398925
SSR1	P43307	uniprot	Control 10h_3	17.09949774
PCSK9	Q8NBP7	uniprot	Control 10h_3	12.60223786
TPP2	P29144	uniprot	Control 10h_3	20.87159275
PRKAA1	Q13131	uniprot	Control 10h_3	11.41814515
ATL3	Q6DD88	uniprot	Control 10h_3	4.946648301000001
DARS	P14868	uniprot	Control 10h_3	23.71343922
CFL2	Q9Y281	uniprot	Control 10h_3	25.07374135
MAD2L1	Q13257	uniprot	Control 10h_3	14.83146333
PSMD2	Q13200	uniprot	Control 10h_3	61.91513802
XPO4	Q9C0E2	uniprot	Control 10h_3	11.72425306
ERAP1	Q9NZ08	uniprot	Control 10h_3	18.19667388
ZFR	Q96KR1	uniprot	Control 10h_3	10.00494798
BLOC1S1	P78537	uniprot	Control 10h_3	15.45255462
SRRM2	Q9UQ35	uniprot	Control 10h_3	16.60200809
SPATS2L	Q9NUQ6	uniprot	Control 10h_3	13.03363286
EIF5B	O60841	uniprot	Control 10h_3	22.91004627
SKP1	P63208	uniprot	Control 10h_3	27.78254526
NDRG3	Q9UGV2	uniprot	Control 10h_3	6.002009167000001
PROCR	Q9UNN8	uniprot	Control 10h_3	18.05650405
CAPN1	P07384	uniprot	Control 10h_3	33.01889102
GEMIN5	Q8TEQ6	uniprot	Control 10h_3	7.3961097879999995
DPP3	Q9NY33	uniprot	Control 10h_3	19.28492776
RARS	P54136	uniprot	Control 10h_3	35.97614557
MRPL11	Q9Y3B7	uniprot	Control 10h_3	21.68541901
STAT5B	P51692	uniprot	Control 10h_3	11.51966794
NME1	P15531	uniprot	Control 10h_3	12.33716048
SRPR; SRPRA	P08240	uniprot	Control 10h_3	12.26341027
RPS9	P46781	uniprot	Control 10h_3	11.74747956
DDX17	Q92841	uniprot	Control 10h_3	11.35346693
PHPT1	Q9NRX4	uniprot	Control 10h_3	11.31454171
KIAA0368	Q5VYK3	uniprot	Control 10h_3	20.97003645
ELAC2	Q9BQ52	uniprot	Control 10h_3	19.29151209
DCTN1	Q14203	uniprot	Control 10h_3	11.27766221
SMARCA1	P28370	uniprot	Control 10h_3	1.600774572
NELFCD; TH1L	Q8IXH7	uniprot	Control 10h_3	15.231467499999999
MRPL44	Q9H9J2	uniprot	Control 10h_3	8.831253451
ADPRHL2	Q9NX46	uniprot	Control 10h_3	10.87854434
PIGU	Q9H490	uniprot	Control 10h_3	10.3357761
RAB21	Q9UL25	uniprot	Control 10h_3	13.37416504
SEC63	Q9UGP8	uniprot	Control 10h_3	16.87841281
PPP2R4; PTPA	Q15257	uniprot	Control 10h_3	11.16169297
CD109	Q6YHK3	uniprot	Control 10h_3	16.10652972
MSI2	Q96DH6	uniprot	Control 10h_3	7.9292650710000006
DDX1	Q92499	uniprot	Control 10h_3	21.86570534
GDI2	P50395	uniprot	Control 10h_3	20.1970395
	P04179	uniprot	Control 10h_3	13.18825091
ABHD10	Q9NUJ1	uniprot	Control 10h_3	23.22514605
MTX2	O75431	uniprot	Control 10h_3	12.53909468
ZRANB2	O95218	uniprot	Control 10h_3	21.27696509
SMOC1	Q9H4F8	uniprot	Control 10h_3	11.24797912
PGLS	O95336	uniprot	Control 10h_3	7.284311426
RPS15	P62841	uniprot	Control 10h_3	31.361085600000003
GRPEL1	Q9HAV7	uniprot	Control 10h_3	25.19389181
POLR2E	P19388	uniprot	Control 10h_3	16.31647663
HMGN2	P05204	uniprot	Control 10h_3	9.377580400000001
ITGAV	P06756	uniprot	Control 10h_3	17.53916729
ERH	P84090	uniprot	Control 10h_3	19.49393669
RPL7A	P62424	uniprot	Control 10h_3	40.98159702
IMMT	Q16891	uniprot	Control 10h_3	13.52166882
NEMF	O60524	uniprot	Control 10h_3	3.644444762
APOL2	Q9BQE5	uniprot	Control 10h_3	16.78162902
SDF4	Q9BRK5	uniprot	Control 10h_3	6.6847176720000006
TPM4	P67936	uniprot	Control 10h_3	0.0
NEGR1	Q7Z3B1	uniprot	Control 10h_3	6.906725992999999
PPME1	Q9Y570	uniprot	Control 10h_3	19.63234255
ALDH6A1	Q02252	uniprot	Control 10h_3	8.997747721
EHD2	Q9NZN4	uniprot	Control 10h_3	14.97314473
RPS6KA3	P51812	uniprot	Control 10h_3	11.26090589
INSL4	Q14641	uniprot	Control 10h_3	26.29564289
CLCN7	P51798	uniprot	Control 10h_3	23.66995014
DR1	Q01658	uniprot	Control 10h_3	22.47667266
